protocol,packet_length,source_port,destination_port,flags,label,,
17,146,12506,53,0,0,,
6,1684,28408,80,27,0,,
6,3094,51738,80,19,1,,
6,7816,6057,143,27,0,,
6,1684,65431,80,27,0,,
17,528,17145,5707,0,0,,
17,568,37245,111,0,0,,
6,3808,18282,16970,27,0,,
17,146,11913,53,0,0,,
6,7810,2233,143,27,0,,
17,146,37882,53,0,0,,
6,160,49637,8088,18,1,,
6,2542,18316,64182,27,0,,
6,1684,57131,80,27,0,,
17,146,1528,53,0,0,,
6,203906,11361,445,19,1,,
6,4014,20021,63985,27,0,,
17,130,21690,53,0,0,,
17,146,22910,53,0,0,,
6,37258,62211,25,27,0,,
6,160,40194,8088,18,1,,
17,1064,61464,520,0,1,,
6,1580,9416,80,27,0,,
17,146,29655,53,0,0,,
17,146,53312,53,0,0,,
6,1684,6696,80,27,0,,
6,2054,31525,5190,27,0,,
6,7810,59178,143,27,0,,
6,9,36476,21,24,0,,
6,261,36476,21,24,0,,
6,481,36476,21,24,0,,
6,701,36476,21,24,0,,
6,1031,36476,21,24,0,,
6,1251,36476,21,24,0,,
6,1493,36476,21,24,0,,
6,9,38917,21,16,1,,
6,1817,36476,21,24,0,,
6,9,1547,21,24,0,,
6,2059,36476,21,24,0,,
6,167,38917,21,16,1,,
6,261,1547,21,24,0,,
6,481,1547,21,24,0,,
6,2383,36476,21,24,0,,
6,701,1547,21,24,0,,
6,1031,1547,21,24,0,,
6,1251,1547,21,24,0,,
6,1493,1547,21,24,0,,
6,1817,1547,21,24,0,,
6,2059,1547,21,24,0,,
6,2383,1547,21,24,0,,
6,9,63720,21,16,1,,
6,167,63720,21,16,1,,
6,9,17081,21,24,0,,
6,261,17081,21,24,0,,
6,481,17081,21,24,0,,
6,701,17081,21,24,0,,
6,1031,17081,21,24,0,,
6,1251,17081,21,24,0,,
6,1493,17081,21,24,0,,
6,1817,17081,21,24,0,,
6,2059,17081,21,24,0,,
6,2383,17081,21,24,0,,
6,9,2357,21,16,1,,
6,167,2357,21,16,1,,
6,9,16372,21,24,0,,
6,261,16372,21,24,0,,
6,481,16372,21,24,0,,
6,701,16372,21,24,0,,
6,1031,16372,21,24,0,,
6,1251,16372,21,24,0,,
6,1493,16372,21,24,0,,
6,1817,16372,21,24,0,,
6,2059,16372,21,24,0,,
6,2383,16372,21,24,0,,
6,9,1865,21,16,1,,
6,167,1865,21,16,1,,
6,9,39259,21,16,1,,
6,160,57199,8088,18,1,,
6,878,21974,179,19,1,,
17,146,32665,53,0,0,,
17,146,60544,53,0,0,,
6,1684,36743,80,27,0,,
6,2542,1739,19803,27,0,,
6,4014,49422,47400,27,0,,
17,130,48921,53,0,0,,
6,37258,31237,25,27,0,,
17,146,48569,53,0,0,,
6,160,43156,8088,18,1,,
6,2542,44737,49239,27,0,,
6,17047,63657,21,17,1,,
6,4014,38158,44337,27,0,,
6,1684,18028,80,27,0,,
6,2542,39841,10324,27,0,,
6,1580,65456,80,27,0,,
6,4014,41316,39426,27,0,,
17,528,17885,11436,0,0,,
17,568,37162,111,0,0,,
6,3808,63238,63782,27,0,,
6,1580,13444,80,27,0,,
17,146,6466,53,0,0,,
17,130,33835,53,0,0,,
6,37258,1666,25,27,0,,
6,320,16820,43866,27,0,,
17,146,37207,53,0,0,,
6,7816,6544,143,27,0,,
17,130,63069,53,0,0,,
6,528,63749,61146,27,0,,
17,104,59428,520,0,1,,
17,146,19336,53,0,0,,
6,160,44646,8088,18,1,,
6,1684,1917,80,27,0,,
17,146,65383,53,0,0,,
6,208450,21262,445,19,1,,
17,146,22937,53,0,0,,
6,37346,44157,25,27,0,,
6,1684,26183,80,27,0,,
17,130,25273,53,0,0,,
6,160,38197,8088,18,1,,
17,146,25927,53,0,0,,
6,8928,62570,32200,27,0,,
6,2542,58298,63050,27,0,,
6,2487,37362,21,25,0,,
6,1684,6283,80,27,0,,
6,4014,51687,57867,27,0,,
6,2542,47557,51483,27,0,,
6,4014,3610,52778,27,0,,
17,146,53786,53,0,0,,
6,160,44997,8088,18,1,,
6,2542,1351,3428,27,0,,
6,1580,17327,80,27,0,,
6,4118,2988,53130,27,0,,
6,1530,17822,80,19,1,,
17,146,46819,53,0,0,,
6,822,29627,80,19,1,,
6,2054,48808,5190,27,0,,
6,1580,65255,80,27,0,,
6,2054,6252,5190,27,0,,
6,7810,20688,143,27,0,,
6,37258,60417,25,27,0,,
6,167,39259,21,16,1,,
6,37258,58822,25,27,0,,
17,528,41215,46842,0,0,,
17,568,10094,111,0,0,,
17,146,12494,53,0,0,,
6,160,37245,8088,18,1,,
6,1684,27308,80,27,0,,
17,146,12654,53,0,0,,
6,880,28570,179,19,1,,
6,4224,12548,41042,27,0,,
17,1064,62866,520,0,1,,
6,7816,26973,143,27,0,,
17,146,63553,53,0,0,,
6,1580,1157,80,27,0,,
6,37258,19268,25,27,0,,
89,832,0,0,0,0,,
89,832,0,0,0,0,,
17,146,19065,53,0,0,,
6,2340,43974,445,27,1,,
6,1580,4502,80,27,0,,
6,2542,59431,12385,27,0,,
6,4014,58991,65153,27,0,,
6,2542,59611,58793,27,0,,
6,4014,23166,21354,27,0,,
17,130,60962,53,0,0,,
6,160,60552,8088,18,1,,
17,130,54789,53,0,0,,
6,9504,1753,22,27,0,,
6,271,1319,21,17,1,,
6,37346,64963,25,27,0,,
6,10582,38919,5190,27,0,,
6,1684,35568,80,27,0,,
17,146,53360,53,0,0,,
6,1580,14076,80,27,0,,
17,130,57686,53,0,0,,
6,2542,43301,58796,27,0,,
6,2054,57065,5190,27,0,,
6,4014,45884,48509,27,0,,
17,146,5263,53,0,0,,
17,104,59197,520,0,1,,
6,37346,6930,25,27,0,,
6,212994,61814,445,19,1,,
6,160,56673,8088,18,1,,
17,146,44005,53,0,0,,
17,146,44552,53,0,0,,
6,7816,26788,143,27,0,,
17,146,2893,53,0,0,,
6,3926,10742,45708,27,0,,
6,18370,6945,80,27,0,,
6,3510,40008,37971,27,0,,
17,168,50799,111,0,1,,
17,512,13331,41878,0,0,,
17,568,41637,111,0,0,,
6,4184,14368,40797,27,0,,
6,18058,65379,80,27,0,,
6,160,53483,8088,18,1,,
6,3926,12955,14194,27,0,,
6,3614,14459,12535,27,0,,
17,146,15192,53,0,0,,
6,1684,52958,80,27,0,,
17,146,22101,53,0,0,,
17,146,37019,53,0,0,,
17,528,23258,14280,0,0,,
17,568,21692,111,0,0,,
6,3808,24455,58909,27,0,,
6,18578,58287,80,27,0,,
6,2054,58598,5190,27,0,,
6,160,50344,8088,18,1,,
6,37346,17038,25,27,0,,
6,1580,7855,80,27,0,,
6,802,51748,80,19,1,,
6,2542,61440,24293,27,0,,
6,4014,25185,58958,27,0,,
17,146,56029,53,0,0,,
6,1580,38120,80,27,0,,
17,146,57474,53,0,0,,
17,146,50626,53,0,0,,
17,130,51187,53,0,0,,
6,320,47703,43866,27,0,,
6,7816,56477,143,27,0,,
6,424,2427,61146,27,0,,
6,8928,3321,32200,27,0,,
6,2487,52927,21,25,0,,
6,37258,54159,25,27,0,,
6,7816,57084,143,27,0,,
6,2542,52254,60807,27,0,,
6,4014,1563,32390,27,0,,
6,2542,2233,47439,27,0,,
6,4014,3749,1835,27,0,,
6,1580,60714,80,27,0,,
17,138,49765,161,0,1,,
17,146,45855,53,0,0,,
6,882,65317,179,19,1,,
17,146,43715,53,0,0,,
17,130,10219,53,0,0,,
17,146,7952,53,0,0,,
6,37258,45307,25,27,0,,
6,320,40631,43866,27,0,,
17,146,38143,53,0,0,,
6,1580,29502,80,27,0,,
6,160,64590,8088,18,1,,
6,3926,39975,49649,27,0,,
6,386,53531,44425,26,1,,
6,3614,14035,11973,27,0,,
17,130,34750,53,0,0,,
6,217458,9448,445,19,1,,
6,424,35335,61146,27,0,,
17,146,35991,53,0,0,,
6,7816,36386,143,27,0,,
6,3926,18308,35336,27,0,,
6,3614,1282,17887,27,0,,
6,37346,9689,25,27,0,,
17,528,22754,1084,0,0,,
17,568,65266,111,0,0,,
17,1064,5076,520,0,1,,
6,2542,26386,61552,27,0,,
6,8928,34215,32200,27,0,,
6,18682,60859,80,27,0,,
6,4014,29006,25453,27,0,,
6,2542,23222,28821,27,0,,
6,2487,11995,21,25,0,,
6,4014,60699,58656,27,0,,
6,4328,23863,22558,27,0,,
17,146,28091,53,0,0,,
6,3926,25588,24654,27,0,,
6,37258,12051,25,27,0,,
17,146,29046,53,0,0,,
6,3614,27167,61016,27,0,,
6,160,36736,8088,18,1,,
6,18474,18744,80,27,0,,
17,146,53899,53,0,0,,
17,146,30640,53,0,0,,
17,130,47751,53,0,0,,
6,7810,3340,143,27,0,,
6,2542,3234,54633,27,0,,
6,4014,4801,2806,27,0,,
6,1684,64317,80,27,0,,
6,37258,47365,25,27,0,,
6,3926,50156,4618,27,0,,
6,3614,43361,49815,27,0,,
17,130,41561,53,0,0,,
6,160,46469,8088,18,1,,
17,130,9948,53,0,0,,
6,320,12860,48138,27,0,,
6,424,13727,30872,27,0,,
6,8928,34109,54121,27,0,,
6,2487,11849,21,25,0,,
17,104,36086,520,0,1,,
6,2054,10341,5190,27,0,,
17,146,41418,53,0,0,,
6,1580,29963,80,27,0,,
6,9504,14580,22,27,0,,
6,2142,8095,80,19,1,,
6,3926,16673,5292,27,0,,
6,3614,18461,16258,27,0,,
6,824,36913,1094,19,1,,
17,512,1088,64349,0,0,,
17,568,64076,111,0,0,,
6,4184,64681,63348,27,0,,
6,222162,27775,445,19,1,,
6,1684,52199,80,27,0,,
6,327,38836,21,17,1,,
6,2542,1137,20459,27,0,,
6,4014,21189,63135,27,0,,
17,130,59817,53,0,0,,
6,1684,32472,80,27,0,,
6,884,32416,179,19,1,,
6,2542,60093,20981,27,0,,
6,4014,61644,21879,27,0,,
17,512,31599,23557,0,0,,
17,568,56975,111,0,0,,
6,4184,33005,31409,27,0,,
6,160,60967,8088,18,1,,
6,7816,14669,143,27,0,,
17,146,54443,53,0,0,,
17,146,28275,53,0,0,,
6,37346,51539,25,27,0,,
6,1684,40943,80,27,0,,
17,146,32247,53,0,0,,
17,1064,14934,520,0,1,,
17,130,1689,53,0,0,,
6,320,4390,48138,27,0,,
6,2542,49506,52295,27,0,,
6,4014,49135,47069,27,0,,
6,7816,61601,143,27,0,,
17,512,8235,48949,0,0,,
17,568,6992,111,0,0,,
17,146,44074,53,0,0,,
6,424,5240,30872,27,0,,
6,2054,34110,5190,27,0,,
6,160,34230,8088,18,1,,
17,146,41687,53,0,0,,
6,8928,6061,54121,27,0,,
17,168,40436,111,0,1,,
6,4704,9324,45941,27,0,,
6,2542,14720,9082,27,0,,
6,4014,35924,35767,27,0,,
6,9,43184,21,24,0,,
6,261,43184,21,24,0,,
6,481,43184,21,24,0,,
6,701,43184,21,24,0,,
6,1031,43184,21,24,0,,
6,1251,43184,21,24,0,,
6,1493,43184,21,24,0,,
6,1817,43184,21,24,0,,
6,2059,43184,21,24,0,,
6,2383,43184,21,24,0,,
6,9,38837,21,16,1,,
6,9,18173,21,24,0,,
6,261,18173,21,24,0,,
6,481,18173,21,24,0,,
6,701,18173,21,24,0,,
6,167,38837,21,16,1,,
6,1031,18173,21,24,0,,
6,1251,18173,21,24,0,,
